"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","whenUsingParameterizedQueryWithMissingParameter_thenExceptionThrown()","Structures Core","Fri Feb 06 07:53:54 UTC 2026","passed","Fri Feb 06 07:53:54 UTC 2026","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenUsingParameterizedQueryWithMissingParameter_thenExceptionThrown"
"","735","testExtractValueFromPath_NonExistentPath()","Structures Core","Fri Feb 06 07:52:48 UTC 2026","passed","Fri Feb 06 07:52:48 UTC 2026","","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","testExtractValueFromPath_NonExistentPath"
"","3015","whenDelete_thenDataDeleted()","Structures Core","Fri Feb 06 07:53:43 UTC 2026","passed","Fri Feb 06 07:53:46 UTC 2026","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenDelete_thenDataDeleted"
"","8","testValidBearerHeaderWithInvalidToken()","Structures Core","Fri Feb 06 07:52:45 UTC 2026","passed","Fri Feb 06 07:52:45 UTC 2026","","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","testValidBearerHeaderWithInvalidToken"
"","23","Test FindByIds","End To End Tests","Fri Feb 06 07:58:00 UTC 2026","broken","Fri Feb 06 07:58:00 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","25","Test CountByQuery","End To End Tests","Fri Feb 06 07:58:00 UTC 2026","broken","Fri Feb 06 07:58:00 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","1002","whenCreateTableMigration_thenTableCreated()","Structures Core","Fri Feb 06 07:53:31 UTC 2026","passed","Fri Feb 06 07:53:32 UTC 2026","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenCreateTableMigration_thenTableCreated"
"","7","testJwtTokenWithoutKid()","Structures Core","Fri Feb 06 07:52:42 UTC 2026","passed","Fri Feb 06 07:52:42 UTC 2026","","org.kinotic.structures.tests.auth.JwksServiceTest","org.kinotic.structures.tests.auth.JwksServiceTest","testJwtTokenWithoutKid"
"","125","testValidAudienceWithAdminRole()","Structures Core","Fri Feb 06 07:52:35 UTC 2026","passed","Fri Feb 06 07:52:35 UTC 2026","","org.kinotic.structures.tests.auth.AccessControlTest","org.kinotic.structures.tests.auth.AccessControlTest","testValidAudienceWithAdminRole"
"","1","testPolicyEvaluatorWithMissingDomainPolicy()","Structures Core","Fri Feb 06 07:53:17 UTC 2026","passed","Fri Feb 06 07:53:17 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithMissingDomainPolicy"
"","522","testCountByQuery()","Structures Core","Fri Feb 06 07:53:11 UTC 2026","passed","Fri Feb 06 07:53:11 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testCountByQuery"
"","1","testSharedPolicyManagerInitialization()","Structures Core","Fri Feb 06 07:53:17 UTC 2026","passed","Fri Feb 06 07:53:17 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","testSharedPolicyManagerInitialization"
"","8","Test Multiple Writes Maintain Data Integrity","End To End Tests","Fri Feb 06 07:58:02 UTC 2026","broken","Fri Feb 06 07:58:02 UTC 2026","Data Stream Tests","Typescript Client","",""
"","11","Test Delete By Query","End To End Tests","Fri Feb 06 07:58:02 UTC 2026","broken","Fri Feb 06 07:58:02 UTC 2026","Data Stream Tests","Typescript Client","",""
"","166","testFindByIds()","Structures Core","Fri Feb 06 07:53:14 UTC 2026","passed","Fri Feb 06 07:53:14 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testFindByIds"
"","112","testValidAudienceWithPowerUserRole()","Structures Core","Fri Feb 06 07:52:35 UTC 2026","passed","Fri Feb 06 07:52:35 UTC 2026","","org.kinotic.structures.tests.auth.AccessControlTest","org.kinotic.structures.tests.auth.AccessControlTest","testValidAudienceWithPowerUserRole"
"","28","Test CountByQuery and DeleteByQuery","End To End Tests","Fri Feb 06 07:58:00 UTC 2026","broken","Fri Feb 06 07:58:00 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","2473","createAndDeleteApplication()","Structures Core","Fri Feb 06 07:52:54 UTC 2026","passed","Fri Feb 06 07:52:56 UTC 2026","","org.kinotic.structures.tests.core.application.ApplicationTests","org.kinotic.structures.tests.core.application.ApplicationTests","createAndDeleteApplication"
"","0","Can create a person","End To End Tests","Fri Feb 06 07:58:04 UTC 2026","skipped","Fri Feb 06 07:58:04 UTC 2026","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","27","Test Bulk CRUD","End To End Tests","Fri Feb 06 07:58:00 UTC 2026","broken","Fri Feb 06 07:58:00 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","0","OpenApi Schema loads","End To End Tests","Fri Feb 06 07:58:04 UTC 2026","skipped","Fri Feb 06 07:58:04 UTC 2026","","OpenAPI Client","",""
"","10","whenBuildingRangeQuery_thenCorrectQueryBuilt()","Structures Core","Fri Feb 06 07:53:54 UTC 2026","passed","Fri Feb 06 07:53:54 UTC 2026","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenBuildingRangeQuery_thenCorrectQueryBuilt"
"","1","testAuthorizeDeniedWithEntityOnlyPolicies()","Structures Core","Fri Feb 06 07:53:17 UTC 2026","passed","Fri Feb 06 07:53:17 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeDeniedWithEntityOnlyPolicies"
"","4","testJwksServiceInitialization()","Structures Core","Fri Feb 06 07:52:42 UTC 2026","passed","Fri Feb 06 07:52:42 UTC 2026","","org.kinotic.structures.tests.auth.JwksServiceTest","org.kinotic.structures.tests.auth.JwksServiceTest","testJwksServiceInitialization"
"","127","testFrontendConfigurationEndpoint_EndpointAccessibility()","Structures Core","Fri Feb 06 07:53:23 UTC 2026","passed","Fri Feb 06 07:53:23 UTC 2026","","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","testFrontendConfigurationEndpoint_EndpointAccessibility"
"","22","Test Basic CRUD","End To End Tests","Fri Feb 06 07:58:03 UTC 2026","broken","Fri Feb 06 07:58:03 UTC 2026","Versioned Tests","Typescript Client","",""
"","15","Test Stream Time Range Search","End To End Tests","Fri Feb 06 07:58:02 UTC 2026","broken","Fri Feb 06 07:58:02 UTC 2026","Data Stream Tests","Typescript Client","",""
"","9","Test Cursor Based Paging With Iterator No Data","End To End Tests","Fri Feb 06 07:58:01 UTC 2026","broken","Fri Feb 06 07:58:01 UTC 2026","EntityService Tests","Typescript Client","",""
"","463","testCreateAndDeleteByQuery()","Structures Core","Fri Feb 06 07:53:13 UTC 2026","passed","Fri Feb 06 07:53:14 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testCreateAndDeleteByQuery"
"","33","Test CountByQuery","End To End Tests","Fri Feb 06 07:58:01 UTC 2026","broken","Fri Feb 06 07:58:01 UTC 2026","EntityService Tests","Typescript Client","",""
"","12","Test Alert Schema Evolution - Remove Field (Breaking)","End To End Tests","Fri Feb 06 07:58:02 UTC 2026","broken","Fri Feb 06 07:58:02 UTC 2026","Data Stream Tests","Typescript Client","",""
"","27","Test Basic Stream Write and Search","End To End Tests","Fri Feb 06 07:58:02 UTC 2026","broken","Fri Feb 06 07:58:02 UTC 2026","Data Stream Tests","Typescript Client","",""
"","3","testExtractValueFromPath_NestedPath()","Structures Core","Fri Feb 06 07:52:48 UTC 2026","passed","Fri Feb 06 07:52:48 UTC 2026","","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","testExtractValueFromPath_NestedPath"
"","0","Can find people by IDs across specific tenants","End To End Tests","Fri Feb 06 07:58:04 UTC 2026","skipped","Fri Feb 06 07:58:04 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
