"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","testNonBearerAuthorizationHeader()","Structures Core","Sun Feb 08 02:43:32 UTC 2026","passed","Sun Feb 08 02:43:32 UTC 2026","","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","testNonBearerAuthorizationHeader"
"","12","testFrontendConfigurationEndpoint_ReturnsValidConfiguration()","Structures Core","Sun Feb 08 02:44:10 UTC 2026","passed","Sun Feb 08 02:44:10 UTC 2026","","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","testFrontendConfigurationEndpoint_ReturnsValidConfiguration"
"","2011","whenCreateTableIfNotExists_thenNoErrorOnSecondCreate()","Structures Core","Sun Feb 08 02:44:28 UTC 2026","passed","Sun Feb 08 02:44:30 UTC 2026","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenCreateTableIfNotExists_thenNoErrorOnSecondCreate"
"","6131","Test Basic Stream Write and Search","End To End Tests","Sun Feb 08 03:10:27 UTC 2026","passed","Sun Feb 08 03:10:33 UTC 2026","Data Stream Tests","Typescript Client","",""
"","13","testFrontendConfigurationEndpoint_JsonStructure()","Structures Core","Sun Feb 08 02:44:10 UTC 2026","passed","Sun Feb 08 02:44:10 UTC 2026","","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","testFrontendConfigurationEndpoint_JsonStructure"
"","5896","Test Basic CRUD","End To End Tests","Sun Feb 08 03:10:39 UTC 2026","passed","Sun Feb 08 03:10:45 UTC 2026","Versioned Tests","Typescript Client","",""
"","505","bulkSaveObjectWithMultipleIds()","Structures Core","Sun Feb 08 02:43:47 UTC 2026","passed","Sun Feb 08 02:43:48 UTC 2026","","org.kinotic.structures.tests.core.entity.BulkUpdateTests","org.kinotic.structures.tests.core.entity.BulkUpdateTests","bulkSaveObjectWithMultipleIds"
"","22","OpenApi Schema loads","End To End Tests","Sun Feb 08 03:10:52 UTC 2026","passed","Sun Feb 08 03:10:52 UTC 2026","","","",""
"","77","testValidTokenFromKeycloak()","Structures Core","Sun Feb 08 02:43:32 UTC 2026","passed","Sun Feb 08 02:43:32 UTC 2026","","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","testValidTokenFromKeycloak"
"","632","Test Offset Based Paging With Iterator Uneven Pages","End To End Tests","Sun Feb 08 03:10:36 UTC 2026","passed","Sun Feb 08 03:10:36 UTC 2026","EntityService Tests","Typescript Client","",""
"","647","Test Offset Based Paging With Iterator No Data","End To End Tests","Sun Feb 08 03:10:37 UTC 2026","passed","Sun Feb 08 03:10:37 UTC 2026","EntityService Tests","Typescript Client","",""
"","42","Can get person by ID","End To End Tests","Sun Feb 08 03:10:25 UTC 2026","passed","Sun Feb 08 03:10:25 UTC 2026","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","2015","whenAlterTable_thenColumnAdded()","Structures Core","Sun Feb 08 02:44:34 UTC 2026","passed","Sun Feb 08 02:44:36 UTC 2026","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenAlterTable_thenColumnAdded"
"","2","testExtractValueFromPath_NestedPath()","Structures Core","Sun Feb 08 02:43:35 UTC 2026","passed","Sun Feb 08 02:43:35 UTC 2026","","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","testExtractValueFromPath_NestedPath"
"","1074","Test Cursor Based Paging","End To End Tests","Sun Feb 08 03:10:31 UTC 2026","passed","Sun Feb 08 03:10:32 UTC 2026","EntityService Tests","Typescript Client","",""
"","1","testAuthorizeWriteOperationFails()","Structures Core","Sun Feb 08 02:44:04 UTC 2026","passed","Sun Feb 08 02:44:04 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWriteOperationFails"
"","6114","Test Basic CRUD","End To End Tests","Sun Feb 08 03:10:19 UTC 2026","passed","Sun Feb 08 03:10:26 UTC 2026","EntityService Tests","Typescript Client","",""
"","1279","Test Bulk CRUD","End To End Tests","Sun Feb 08 03:10:31 UTC 2026","passed","Sun Feb 08 03:10:32 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","0","testPolicyEvaluatorWithMissingDomainPolicy()","Structures Core","Sun Feb 08 02:44:04 UTC 2026","passed","Sun Feb 08 02:44:04 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithMissingDomainPolicy"
"","11","whenInvalidVersionNumber_thenExceptionThrown()","Structures Core","Sun Feb 08 02:44:12 UTC 2026","passed","Sun Feb 08 02:44:12 UTC 2026","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenInvalidVersionNumber_thenExceptionThrown"
"","87","testValidAudienceWithAdminRole()","Structures Core","Sun Feb 08 02:43:22 UTC 2026","passed","Sun Feb 08 02:43:22 UTC 2026","","org.kinotic.structures.tests.auth.AccessControlTest","org.kinotic.structures.tests.auth.AccessControlTest","testValidAudienceWithAdminRole"
"","3","testNoAuthorizationHeader()","Structures Core","Sun Feb 08 02:43:32 UTC 2026","passed","Sun Feb 08 02:43:32 UTC 2026","","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","testNoAuthorizationHeader"
"","3","testExtractValueFromPath_ListPath()","Structures Core","Sun Feb 08 02:43:35 UTC 2026","passed","Sun Feb 08 02:43:35 UTC 2026","","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","testExtractValueFromPath_ListPath"
"","1","whenUsingParameterizedQueryWithMissingParameter_thenExceptionThrown()","Structures Core","Sun Feb 08 02:44:41 UTC 2026","passed","Sun Feb 08 02:44:41 UTC 2026","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenUsingParameterizedQueryWithMissingParameter_thenExceptionThrown"
"","78","testValidAudienceWithPowerUserRole()","Structures Core","Sun Feb 08 02:43:22 UTC 2026","passed","Sun Feb 08 02:43:22 UTC 2026","","org.kinotic.structures.tests.auth.AccessControlTest","org.kinotic.structures.tests.auth.AccessControlTest","testValidAudienceWithPowerUserRole"
"","712","Test Delete By Query","End To End Tests","Sun Feb 08 03:10:37 UTC 2026","passed","Sun Feb 08 03:10:38 UTC 2026","Data Stream Tests","Typescript Client","",""
"","1124","Test Bulk Stream Write","End To End Tests","Sun Feb 08 03:10:34 UTC 2026","passed","Sun Feb 08 03:10:35 UTC 2026","Data Stream Tests","Typescript Client","",""
"","3","testAuthorizeReadFailsDueToFieldPolicy()","Structures Core","Sun Feb 08 02:44:04 UTC 2026","passed","Sun Feb 08 02:44:04 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadFailsDueToFieldPolicy"
"","90","testFetchKeyFromValidToken()","Structures Core","Sun Feb 08 02:43:29 UTC 2026","passed","Sun Feb 08 02:43:29 UTC 2026","","org.kinotic.structures.tests.auth.JwksServiceTest","org.kinotic.structures.tests.auth.JwksServiceTest","testFetchKeyFromValidToken"
"","10","whenDuplicateVersionNumber_thenExceptionThrown()","Structures Core","Sun Feb 08 02:44:22 UTC 2026","passed","Sun Feb 08 02:44:22 UTC 2026","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenDuplicateVersionNumber_thenExceptionThrown"
"","1431","Test Alert Schema Evolution - Remove Field (Breaking)","End To End Tests","Sun Feb 08 03:10:39 UTC 2026","passed","Sun Feb 08 03:10:40 UTC 2026","Data Stream Tests","Typescript Client","",""
"","856","Test Offset Based Paging With Iterator","End To End Tests","Sun Feb 08 03:10:35 UTC 2026","passed","Sun Feb 08 03:10:36 UTC 2026","EntityService Tests","Typescript Client","",""
"","671","Aggregate Pageable Test","End To End Tests","Sun Feb 08 03:10:41 UTC 2026","passed","Sun Feb 08 03:10:41 UTC 2026","Named Query Tests","Typescript Client","",""
"","508","testCreateAndDeleteByQuery()","Structures Core","Sun Feb 08 02:44:00 UTC 2026","passed","Sun Feb 08 02:44:01 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testCreateAndDeleteByQuery"
"","1084","testValidAudienceWithNoRoles()","Structures Core","Sun Feb 08 02:43:25 UTC 2026","passed","Sun Feb 08 02:43:26 UTC 2026","","org.kinotic.structures.tests.auth.AdminProviderAccessControlTest","org.kinotic.structures.tests.auth.AdminProviderAccessControlTest","testValidAudienceWithNoRoles"
