"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Test Alert Schema Evolution - Remove Field (Breaking)","End To End Tests","Sun Feb 01 04:25:17 UTC 2026","skipped","Sun Feb 01 04:25:17 UTC 2026","Data Stream Tests","Typescript Client","",""
"","24","testBulk()","Structures Core","Sun Feb 01 04:07:35 UTC 2026","failed","Sun Feb 01 04:07:35 UTC 2026","","org.mindignited.structures.entity.BulkUpdateTests","org.mindignited.structures.entity.BulkUpdateTests","testBulk"
"","20","findMissingEntity()","Structures Core","Sun Feb 01 04:07:36 UTC 2026","failed","Sun Feb 01 04:07:36 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","findMissingEntity"
"","1","Test Cursor Based Paging With Iterator","End To End Tests","Sun Feb 01 04:25:17 UTC 2026","skipped","Sun Feb 01 04:25:17 UTC 2026","EntityService Tests","Typescript Client","",""
"","0","Can bulk save people across multiple tenants and retrieve them selectively","End To End Tests","Sun Feb 01 04:25:17 UTC 2026","skipped","Sun Feb 01 04:25:17 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
"","14","bulkUpdateObjectWithMultipleIds()","Structures Core","Sun Feb 01 04:07:35 UTC 2026","failed","Sun Feb 01 04:07:35 UTC 2026","","org.mindignited.structures.entity.BulkUpdateTests","org.mindignited.structures.entity.BulkUpdateTests","bulkUpdateObjectWithMultipleIds"
"","0","Test Basic CRUD","End To End Tests","Sun Feb 01 04:25:17 UTC 2026","skipped","Sun Feb 01 04:25:17 UTC 2026","EntityService Tests","Typescript Client","",""
"","1","testAuthorizeWriteOperationFails()","Structures Core","Sun Feb 01 04:07:36 UTC 2026","passed","Sun Feb 01 04:07:36 UTC 2026","","org.mindignited.structures.security.graphos.PolicyAuthorizationServiceTest","org.mindignited.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWriteOperationFails"
"","16","testMultiTenantSearch()","Structures Core","Sun Feb 01 04:07:35 UTC 2026","failed","Sun Feb 01 04:07:35 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","testMultiTenantSearch"
"","9","testAuthorizeWithNoPoliciesOnStructure()","Structures Core","Sun Feb 01 04:07:36 UTC 2026","passed","Sun Feb 01 04:07:36 UTC 2026","","org.mindignited.structures.security.graphos.PolicyAuthorizationServiceTest","org.mindignited.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithNoPoliciesOnStructure"
