"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Test Delete By Query","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","Data Stream Tests","Typescript Client","",""
"","0","Test CountByQuery and DeleteByQuery","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","13","testFindAll()","Structures Core","Sun Feb 01 03:28:49 UTC 2026","failed","Sun Feb 01 03:28:49 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","testFindAll"
"","0","Aggregate With Parameter Test","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","Named Query Tests","Typescript Client","",""
"","0","OpenApi Schema loads","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","","","",""
"","0","Test Bulk Stream Write","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","Data Stream Tests","Typescript Client","",""
"","8","createStructureWithSameNameError()","Structures Core","Sun Feb 01 03:28:51 UTC 2026","failed","Sun Feb 01 03:28:51 UTC 2026","","org.mindignited.structures.structure.StructureCrudTests","org.mindignited.structures.structure.StructureCrudTests","createStructureWithSameNameError"
"","0","OpenApi Schema loads","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","","OpenAPI Client","",""
"","1246","createAndDeleteApplication()","Structures Core","Sun Feb 01 03:28:48 UTC 2026","failed","Sun Feb 01 03:28:49 UTC 2026","","org.mindignited.structures.application.ApplicationTests","org.mindignited.structures.application.ApplicationTests","createAndDeleteApplication"
"","14","testFindByIdsNoneFound()","Structures Core","Sun Feb 01 03:28:49 UTC 2026","failed","Sun Feb 01 03:28:49 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","testFindByIdsNoneFound"
"","1","Test Stream Filtering by Severity","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","Data Stream Tests","Typescript Client","",""
"","9","testAuthorizeWithNoPoliciesOnStructure()","Structures Core","Sun Feb 01 03:28:49 UTC 2026","passed","Sun Feb 01 03:28:49 UTC 2026","","org.mindignited.structures.security.graphos.PolicyAuthorizationServiceTest","org.mindignited.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithNoPoliciesOnStructure"
"","1","Test Stream Pagination","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","Data Stream Tests","Typescript Client","",""
"","0","Test FindByIds and None Found","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","0","Test Alert Schema Evolution - Remove Field (Breaking)","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","Data Stream Tests","Typescript Client","",""
"","1","Test Basic CRUD","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","EntityService Tests","Typescript Client","",""
"","0","Test CountByQuery and DeleteByQuery","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","EntityService Tests","Typescript Client","",""
"","0","Test Optimistic Locking","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","Versioned Tests","Typescript Client","",""
"","2","should propagate cache eviction across all pods with entity operations","K8s Cache Eviction Tests","Sun Feb 01 03:29:29 UTC 2026","passed","Sun Feb 01 03:29:29 UTC 2026","","","",""
"","0","Can find people by IDs across specific tenants","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
"","1","Test Save Multiple","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","Named Query Tests","Typescript Client","",""
"","0","Test Cursor Based Paging With Iterator Single Page","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","EntityService Tests","Typescript Client","",""
"","0","Test Stream Time Range Search","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","Data Stream Tests","Typescript Client","",""
"","0","Test Multiple Writes Maintain Data Integrity","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","Data Stream Tests","Typescript Client","",""
"","1","Test Basic CRUD","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","2011","createPublishAndDeleteStructure()","Structures Core","Sun Feb 01 03:28:49 UTC 2026","failed","Sun Feb 01 03:28:51 UTC 2026","","org.mindignited.structures.structure.StructureCrudTests","org.mindignited.structures.structure.StructureCrudTests","createPublishAndDeleteStructure"
"","5","testAuthorizeReadFailsDueToFieldPolicy()","Structures Core","Sun Feb 01 03:28:49 UTC 2026","passed","Sun Feb 01 03:28:49 UTC 2026","","org.mindignited.structures.security.graphos.PolicyAuthorizationServiceTest","org.mindignited.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadFailsDueToFieldPolicy"
"","0","Test Bulk CRUD","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","Versioned Tests","Typescript Client","",""
"","15","tryOperationsOnPublishedStructure()","Structures Core","Sun Feb 01 03:28:51 UTC 2026","failed","Sun Feb 01 03:28:51 UTC 2026","","org.mindignited.structures.structure.StructureCrudTests","org.mindignited.structures.structure.StructureCrudTests","tryOperationsOnPublishedStructure"
"","0","testPolicyEvaluatorWithSuccessfulOperations()","Structures Core","Sun Feb 01 03:28:49 UTC 2026","passed","Sun Feb 01 03:28:49 UTC 2026","","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulOperations"
"","0","Test Update Fails","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","Versioned Tests","Typescript Client","",""
"","8","createStructureInvalidField()","Structures Core","Sun Feb 01 03:28:51 UTC 2026","failed","Sun Feb 01 03:28:51 UTC 2026","","org.mindignited.structures.structure.StructureCrudTests","org.mindignited.structures.structure.StructureCrudTests","createStructureInvalidField"
"","1","testPolicyEvaluatorWithoutOperations()","Structures Core","Sun Feb 01 03:28:49 UTC 2026","passed","Sun Feb 01 03:28:49 UTC 2026","","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithoutOperations"
"","0","OpenApi Schema loads","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","","","",""
"","0","Can delete people across specific tenants","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
"","1","Test Basic Stream Write and Search","End To End Tests","Sun Feb 01 03:46:31 UTC 2026","skipped","Sun Feb 01 03:46:31 UTC 2026","Data Stream Tests","Typescript Client","",""
