"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Can find people by IDs across specific tenants","End To End Tests","Fri Jan 30 06:37:38 UTC 2026","skipped","Fri Jan 30 06:37:38 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
"","0","Test Basic Stream Write and Search","End To End Tests","Fri Jan 30 06:37:38 UTC 2026","skipped","Fri Jan 30 06:37:38 UTC 2026","Data Stream Tests","Typescript Client","",""
"","0","Test Cursor Based Paging With Iterator","End To End Tests","Fri Jan 30 06:37:38 UTC 2026","skipped","Fri Jan 30 06:37:38 UTC 2026","EntityService Tests","Typescript Client","",""
"","1","testFindByIdsNoneFound()","Structures Core","Fri Jan 30 06:20:07 UTC 2026","broken","Fri Jan 30 06:20:07 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","testFindByIdsNoneFound"
"","0","Test FindByIds and None Found","End To End Tests","Fri Jan 30 06:37:38 UTC 2026","skipped","Fri Jan 30 06:37:38 UTC 2026","EntityService Tests","Typescript Client","",""
"","1","testPolicyEvaluatorWithoutOperations()","Structures Core","Fri Jan 30 06:20:07 UTC 2026","passed","Fri Jan 30 06:20:07 UTC 2026","","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithoutOperations"
"","0","Test CountByQuery and DeleteByQuery","End To End Tests","Fri Jan 30 06:37:38 UTC 2026","skipped","Fri Jan 30 06:37:38 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","0","Test Bulk CRUD","End To End Tests","Fri Jan 30 06:37:38 UTC 2026","skipped","Fri Jan 30 06:37:38 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","1","testPolicyEvaluatorWithFailedOperations()","Structures Core","Fri Jan 30 06:20:07 UTC 2026","passed","Fri Jan 30 06:20:07 UTC 2026","","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithFailedOperations"
"","1","testAuthorizeDeniedWithEntityOnlyPolicies()","Structures Core","Fri Jan 30 06:20:07 UTC 2026","passed","Fri Jan 30 06:20:07 UTC 2026","","org.mindignited.structures.security.graphos.PolicyAuthorizationServiceTest","org.mindignited.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeDeniedWithEntityOnlyPolicies"
