"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","267","testFindByIdsNoneFound()","Structures Core","Sun Jan 11 07:26:21 UTC 2026","passed","Sun Jan 11 07:26:21 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","testFindByIdsNoneFound"
"","285","testCreateAndDeleteItem()","Structures Core","Sun Jan 11 07:26:20 UTC 2026","passed","Sun Jan 11 07:26:20 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","testCreateAndDeleteItem"
"","452","testFindAll()","Structures Core","Sun Jan 11 07:26:20 UTC 2026","passed","Sun Jan 11 07:26:20 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","testFindAll"
"","4","testAuthorizeWithNoPoliciesOnStructure()","Structures Core","Sun Jan 11 07:26:25 UTC 2026","passed","Sun Jan 11 07:26:25 UTC 2026","","org.mindignited.structures.security.graphos.PolicyAuthorizationServiceTest","org.mindignited.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithNoPoliciesOnStructure"
"","0","testPolicyEvaluatorWithoutOperations()","Structures Core","Sun Jan 11 07:26:25 UTC 2026","passed","Sun Jan 11 07:26:25 UTC 2026","","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithoutOperations"
"","35","tryOperationOnNotPublishedStructure()","Structures Core","Sun Jan 11 07:26:25 UTC 2026","passed","Sun Jan 11 07:26:25 UTC 2026","","org.mindignited.structures.structure.StructureCrudTests","org.mindignited.structures.structure.StructureCrudTests","tryOperationOnNotPublishedStructure"
"","831","Test Stream Pagination","End To End Tests","Sun Jan 11 07:32:09 UTC 2026","passed","Sun Jan 11 07:32:09 UTC 2026","Data Stream Tests","Typescript Client","",""
"","1100","Test Alert Schema Evolution - Add Field (Non-Breaking)","End To End Tests","Sun Jan 11 07:32:10 UTC 2026","passed","Sun Jan 11 07:32:11 UTC 2026","Data Stream Tests","Typescript Client","",""
"","1055","Test Cursor Based Paging","End To End Tests","Sun Jan 11 07:32:02 UTC 2026","passed","Sun Jan 11 07:32:03 UTC 2026","EntityService Tests","Typescript Client","",""
"","224","createPublishAndDeleteStructure()","Structures Core","Sun Jan 11 07:26:25 UTC 2026","passed","Sun Jan 11 07:26:25 UTC 2026","","org.mindignited.structures.structure.StructureCrudTests","org.mindignited.structures.structure.StructureCrudTests","createPublishAndDeleteStructure"
