"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","OpenApi Schema loads","End To End Tests","Sun Feb 08 02:06:42 UTC 2026","passed","Sun Feb 08 02:06:42 UTC 2026","","","",""
"","673","Test Stream Pagination","End To End Tests","Sun Feb 08 02:06:27 UTC 2026","passed","Sun Feb 08 02:06:28 UTC 2026","Data Stream Tests","Typescript Client","",""
"","1164","Test Alert Schema Evolution - Remove Field (Breaking)","End To End Tests","Sun Feb 08 02:06:30 UTC 2026","passed","Sun Feb 08 02:06:31 UTC 2026","Data Stream Tests","Typescript Client","",""
"","433","testCount()","Structures Core","Sun Feb 08 01:39:35 UTC 2026","passed","Sun Feb 08 01:39:35 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testCount"
"","1460","Test FindByIds and None Found","End To End Tests","Sun Feb 08 02:06:17 UTC 2026","passed","Sun Feb 08 02:06:19 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","44","Can create a person","End To End Tests","Sun Feb 08 02:06:14 UTC 2026","passed","Sun Feb 08 02:06:14 UTC 2026","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","343","Can delete people across specific tenants","End To End Tests","Sun Feb 08 02:06:15 UTC 2026","passed","Sun Feb 08 02:06:16 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
"","3","testExtractValueFromPath_ComplexNestedStructure()","Structures Core","Sun Feb 08 01:39:12 UTC 2026","passed","Sun Feb 08 01:39:12 UTC 2026","","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","testExtractValueFromPath_ComplexNestedStructure"
"","9","whenDuplicateVersionNumber_thenExceptionThrown()","Structures Core","Sun Feb 08 01:39:58 UTC 2026","passed","Sun Feb 08 01:39:58 UTC 2026","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenDuplicateVersionNumber_thenExceptionThrown"
"","63","testFetchKeyFromValidToken()","Structures Core","Sun Feb 08 01:39:07 UTC 2026","passed","Sun Feb 08 01:39:07 UTC 2026","","org.kinotic.structures.tests.auth.JwksServiceTest","org.kinotic.structures.tests.auth.JwksServiceTest","testFetchKeyFromValidToken"
"","1113","Test CountByQuery and DeleteByQuery","End To End Tests","Sun Feb 08 02:06:20 UTC 2026","passed","Sun Feb 08 02:06:21 UTC 2026","EntityService Tests","Typescript Client","",""
"","739","Aggregate With Parameter Test","End To End Tests","Sun Feb 08 02:06:30 UTC 2026","passed","Sun Feb 08 02:06:31 UTC 2026","Named Query Tests","Typescript Client","",""
"","791","Test Delete By Query","End To End Tests","Sun Feb 08 02:06:28 UTC 2026","passed","Sun Feb 08 02:06:29 UTC 2026","Data Stream Tests","Typescript Client","",""
"","6","testAuthorizeWithNoPoliciesOnStructure()","Structures Core","Sun Feb 08 01:39:39 UTC 2026","passed","Sun Feb 08 01:39:39 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithNoPoliciesOnStructure"
"","9","testInvalidJwtTokenFormat()","Structures Core","Sun Feb 08 01:39:07 UTC 2026","passed","Sun Feb 08 01:39:07 UTC 2026","","org.kinotic.structures.tests.auth.JwksServiceTest","org.kinotic.structures.tests.auth.JwksServiceTest","testInvalidJwtTokenFormat"
"","7","should propagate cache eviction across all pods with entity operations","K8s Cache Eviction Tests","Sun Feb 08 02:06:08 UTC 2026","passed","Sun Feb 08 02:06:08 UTC 2026","","","",""
