"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","431","Test Cursor Based Paging With Iterator No Data","End To End Tests","Wed Oct 29 03:40:42 GMT 2025","broken","Wed Oct 29 03:40:42 GMT 2025","EntityService Tests","Typescript Client","",""
"","273","Can delete people across specific tenants","End To End Tests","Wed Oct 29 03:40:34 GMT 2025","passed","Wed Oct 29 03:40:34 GMT 2025","Multitenant Selection Operations","OpenAPI Client","",""
"","2220","testNamedQuery()","Structures Core","Wed Oct 29 03:38:45 GMT 2025","passed","Wed Oct 29 03:38:47 GMT 2025","","org.kinotic.structures.entity.NamedQueryTests","org.kinotic.structures.entity.NamedQueryTests","testNamedQuery"
"","573","Test Stream Pagination","End To End Tests","Wed Oct 29 03:40:47 GMT 2025","broken","Wed Oct 29 03:40:47 GMT 2025","Data Stream Tests","Typescript Client","",""
"","0","testAuthorizeWriteOperationFails()","Structures Core","Wed Oct 29 03:38:47 GMT 2025","passed","Wed Oct 29 03:38:47 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWriteOperationFails"
"","644","bulkUpdateObjectWithMultipleIds()","Structures Core","Wed Oct 29 03:38:30 GMT 2025","passed","Wed Oct 29 03:38:31 GMT 2025","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","bulkUpdateObjectWithMultipleIds"
"","142","Can count people across specific tenants","End To End Tests","Wed Oct 29 03:40:34 GMT 2025","passed","Wed Oct 29 03:40:34 GMT 2025","Multitenant Selection Operations","OpenAPI Client","",""
"","1","testPolicyEvaluatorWithSuccessfulLastName()","Structures Core","Wed Oct 29 03:38:47 GMT 2025","passed","Wed Oct 29 03:38:47 GMT 2025","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulLastName"
"","4","testAuthorizeReadFailsDueToFieldPolicy()","Structures Core","Wed Oct 29 03:38:47 GMT 2025","passed","Wed Oct 29 03:38:47 GMT 2025","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadFailsDueToFieldPolicy"
"","1217","createAndDeleteApplication()","Structures Core","Wed Oct 29 03:38:29 GMT 2025","passed","Wed Oct 29 03:38:30 GMT 2025","","org.kinotic.structures.application.ApplicationTests","org.kinotic.structures.application.ApplicationTests","createAndDeleteApplication"
"","724","Aggregate With Parameter Test","End To End Tests","Wed Oct 29 03:40:50 GMT 2025","broken","Wed Oct 29 03:40:51 GMT 2025","Named Query Tests","Typescript Client","",""
"","1660","Test FindByIds","End To End Tests","Wed Oct 29 03:40:34 GMT 2025","broken","Wed Oct 29 03:40:35 GMT 2025","EntityService Tests","Typescript Client","",""
"","159","testFindById()","Structures Core","Wed Oct 29 03:38:43 GMT 2025","passed","Wed Oct 29 03:38:43 GMT 2025","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindById"
"","692","Test Offset Based Paging With Iterator Single Page","End To End Tests","Wed Oct 29 03:40:44 GMT 2025","broken","Wed Oct 29 03:40:44 GMT 2025","EntityService Tests","Typescript Client","",""
"","598","Aggregate Pageable Test","End To End Tests","Wed Oct 29 03:40:51 GMT 2025","broken","Wed Oct 29 03:40:52 GMT 2025","Named Query Tests","Typescript Client","",""
