"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","794","Test Stream Time Range Search","End To End Tests","Fri Feb 06 08:34:05 UTC 2026","passed","Fri Feb 06 08:34:06 UTC 2026","Data Stream Tests","Typescript Client","",""
"","2262","createPublishAndDeleteStructure()","Structures Core","Fri Feb 06 08:28:46 UTC 2026","passed","Fri Feb 06 08:28:48 UTC 2026","","org.kinotic.structures.tests.core.structure.StructureCrudTests","org.kinotic.structures.tests.core.structure.StructureCrudTests","createPublishAndDeleteStructure"
"","360","Can bulk save people across multiple tenants and retrieve them selectively","End To End Tests","Fri Feb 06 08:33:53 UTC 2026","passed","Fri Feb 06 08:33:54 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
"","2014","whenAlterTable_thenColumnAdded()","Structures Core","Fri Feb 06 08:29:16 UTC 2026","passed","Fri Feb 06 08:29:18 UTC 2026","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenAlterTable_thenColumnAdded"
"","2","testNonBearerAuthorizationHeaderExceptionDetails()","Structures Core","Fri Feb 06 08:28:11 UTC 2026","passed","Fri Feb 06 08:28:11 UTC 2026","","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","testNonBearerAuthorizationHeaderExceptionDetails"
"","629","Test Cursor Based Paging With Iterator Uneven Pages","End To End Tests","Fri Feb 06 08:34:01 UTC 2026","passed","Fri Feb 06 08:34:02 UTC 2026","EntityService Tests","Typescript Client","",""
"","6775","Aggregate Test","End To End Tests","Fri Feb 06 08:34:02 UTC 2026","passed","Fri Feb 06 08:34:09 UTC 2026","Named Query Tests","Typescript Client","",""
"","2012","whenCreateTableIfNotExists_thenNoErrorOnSecondCreate()","Structures Core","Fri Feb 06 08:29:10 UTC 2026","passed","Fri Feb 06 08:29:12 UTC 2026","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenCreateTableIfNotExists_thenNoErrorOnSecondCreate"
"","741","Test Offset Based Paging With Iterator Single Page","End To End Tests","Fri Feb 06 08:34:05 UTC 2026","passed","Fri Feb 06 08:34:06 UTC 2026","EntityService Tests","Typescript Client","",""
"","106","testValidAudienceWithValidRoles()","Structures Core","Fri Feb 06 08:28:05 UTC 2026","passed","Fri Feb 06 08:28:05 UTC 2026","","org.kinotic.structures.tests.auth.AdminProviderAccessControlTest","org.kinotic.structures.tests.auth.AdminProviderAccessControlTest","testValidAudienceWithValidRoles"
"","1","testPolicyEvaluatorWithSuccessfulOperations()","Structures Core","Fri Feb 06 08:28:45 UTC 2026","passed","Fri Feb 06 08:28:45 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulOperations"
"","188","testFindById()","Structures Core","Fri Feb 06 08:28:41 UTC 2026","passed","Fri Feb 06 08:28:42 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testFindById"
"","500","Test Update Fails","End To End Tests","Fri Feb 06 08:34:17 UTC 2026","passed","Fri Feb 06 08:34:18 UTC 2026","Versioned Tests","Typescript Client","",""
"","4","testNoAuthorizationHeaderExceptionDetails()","Structures Core","Fri Feb 06 08:28:11 UTC 2026","passed","Fri Feb 06 08:28:11 UTC 2026","","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","testNoAuthorizationHeaderExceptionDetails"
"","118","testValidAudienceWithPowerUserRole()","Structures Core","Fri Feb 06 08:28:00 UTC 2026","passed","Fri Feb 06 08:28:00 UTC 2026","","org.kinotic.structures.tests.auth.AccessControlTest","org.kinotic.structures.tests.auth.AccessControlTest","testValidAudienceWithPowerUserRole"
"","38","OpenApi Schema loads","End To End Tests","Fri Feb 06 08:34:18 UTC 2026","passed","Fri Feb 06 08:34:18 UTC 2026","","","",""
"","0","testPolicyEvaluatorWithSuccessfulLastName()","Structures Core","Fri Feb 06 08:28:45 UTC 2026","passed","Fri Feb 06 08:28:45 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulLastName"
"","388","testFindAll()","Structures Core","Fri Feb 06 08:28:40 UTC 2026","passed","Fri Feb 06 08:28:40 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testFindAll"
"","577","OpenApi Schema loads","End To End Tests","Fri Feb 06 08:33:52 UTC 2026","passed","Fri Feb 06 08:33:53 UTC 2026","","OpenAPI Client","",""
"","5","testExtractValueFromPath_ListPath()","Structures Core","Fri Feb 06 08:28:14 UTC 2026","passed","Fri Feb 06 08:28:14 UTC 2026","","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","testExtractValueFromPath_ListPath"
"","230","tryOperationsOnPublishedStructure()","Structures Core","Fri Feb 06 08:28:48 UTC 2026","passed","Fri Feb 06 08:28:48 UTC 2026","","org.kinotic.structures.tests.core.structure.StructureCrudTests","org.kinotic.structures.tests.core.structure.StructureCrudTests","tryOperationsOnPublishedStructure"
"","1","testAuthorizeWriteFailsDueToOperationPolicy()","Structures Core","Fri Feb 06 08:28:45 UTC 2026","passed","Fri Feb 06 08:28:45 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWriteFailsDueToOperationPolicy"
"","6254","Aggregate With Parameter and Tenant Selection Test","End To End Tests","Fri Feb 06 08:34:11 UTC 2026","passed","Fri Feb 06 08:34:17 UTC 2026","Admin Named Query Tests","Typescript Client","",""
"","4","testExtractValueFromPath_DeeperNestedPath()","Structures Core","Fri Feb 06 08:28:14 UTC 2026","passed","Fri Feb 06 08:28:14 UTC 2026","","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","testExtractValueFromPath_DeeperNestedPath"
"","24","testFrontendConfigurationEndpoint_ReturnsValidConfiguration()","Structures Core","Fri Feb 06 08:28:51 UTC 2026","passed","Fri Feb 06 08:28:51 UTC 2026","","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","testFrontendConfigurationEndpoint_ReturnsValidConfiguration"
"","1164","testUnauthorizedClientAlwaysFails()","Structures Core","Fri Feb 06 08:28:15 UTC 2026","passed","Fri Feb 06 08:28:16 UTC 2026","","org.kinotic.structures.tests.auth.UnauthorizedProviderAccessControlTest","org.kinotic.structures.tests.auth.UnauthorizedProviderAccessControlTest","testUnauthorizedClientAlwaysFails"
"","11","testCaseInsensitiveAuthorizationHeader()","Structures Core","Fri Feb 06 08:28:11 UTC 2026","passed","Fri Feb 06 08:28:11 UTC 2026","","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","testCaseInsensitiveAuthorizationHeader"
"","788","Test Cursor Based Paging With Iterator Single Page","End To End Tests","Fri Feb 06 08:34:02 UTC 2026","passed","Fri Feb 06 08:34:03 UTC 2026","EntityService Tests","Typescript Client","",""
"","776","Test Stream Pagination","End To End Tests","Fri Feb 06 08:34:06 UTC 2026","passed","Fri Feb 06 08:34:06 UTC 2026","Data Stream Tests","Typescript Client","",""
"","824","Test Delete By Query","End To End Tests","Fri Feb 06 08:34:06 UTC 2026","passed","Fri Feb 06 08:34:07 UTC 2026","Data Stream Tests","Typescript Client","",""
"","817","Test Offset Based Paging With Iterator Uneven Pages","End To End Tests","Fri Feb 06 08:34:05 UTC 2026","passed","Fri Feb 06 08:34:05 UTC 2026","EntityService Tests","Typescript Client","",""
"","802","Test Multiple Writes Maintain Data Integrity","End To End Tests","Fri Feb 06 08:34:02 UTC 2026","passed","Fri Feb 06 08:34:03 UTC 2026","Data Stream Tests","Typescript Client","",""
"","19","testFrontendConfigurationEndpoint_JsonStructure()","Structures Core","Fri Feb 06 08:28:51 UTC 2026","passed","Fri Feb 06 08:28:51 UTC 2026","","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","testFrontendConfigurationEndpoint_JsonStructure"
"","3","should propagate cache eviction across all pods with entity operations","K8s Cache Eviction Tests","Fri Feb 06 08:33:45 UTC 2026","passed","Fri Feb 06 08:33:45 UTC 2026","","","",""
"","4","testExtractValueFromPath_EmptyPath()","Structures Core","Fri Feb 06 08:28:14 UTC 2026","passed","Fri Feb 06 08:28:14 UTC 2026","","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","testExtractValueFromPath_EmptyPath"
"","5","testJwksServiceInitialization()","Structures Core","Fri Feb 06 08:28:08 UTC 2026","passed","Fri Feb 06 08:28:08 UTC 2026","","org.kinotic.structures.tests.auth.JwksServiceTest","org.kinotic.structures.tests.auth.JwksServiceTest","testJwksServiceInitialization"
"","3","testExtractValueFromPath_ComplexNestedStructure()","Structures Core","Fri Feb 06 08:28:14 UTC 2026","passed","Fri Feb 06 08:28:14 UTC 2026","","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","testExtractValueFromPath_ComplexNestedStructure"
"","119","testFindByIds()","Structures Core","Fri Feb 06 08:28:42 UTC 2026","passed","Fri Feb 06 08:28:42 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testFindByIds"
"","1069","Test CountByQuery","End To End Tests","Fri Feb 06 08:33:57 UTC 2026","passed","Fri Feb 06 08:33:58 UTC 2026","EntityService Tests","Typescript Client","",""
"","1388","Test Bulk CRUD","End To End Tests","Fri Feb 06 08:33:59 UTC 2026","passed","Fri Feb 06 08:34:01 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","140","Can count people across specific tenants","End To End Tests","Fri Feb 06 08:33:54 UTC 2026","passed","Fri Feb 06 08:33:54 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
"","1","whenBuildingSimpleTermQuery_thenCorrectQueryBuilt()","Structures Core","Fri Feb 06 08:29:23 UTC 2026","passed","Fri Feb 06 08:29:23 UTC 2026","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenBuildingSimpleTermQuery_thenCorrectQueryBuilt"
"","0","testSharedPolicyManagerInitialization()","Structures Core","Fri Feb 06 08:28:45 UTC 2026","passed","Fri Feb 06 08:28:45 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","testSharedPolicyManagerInitialization"
"","495","testCreateAndDeleteByQuery()","Structures Core","Fri Feb 06 08:28:42 UTC 2026","passed","Fri Feb 06 08:28:42 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testCreateAndDeleteByQuery"
"","1133","testValidAudienceWithNoRoles()","Structures Core","Fri Feb 06 08:28:03 UTC 2026","passed","Fri Feb 06 08:28:05 UTC 2026","","org.kinotic.structures.tests.auth.AdminProviderAccessControlTest","org.kinotic.structures.tests.auth.AdminProviderAccessControlTest","testValidAudienceWithNoRoles"
"","996","Test CountByQuery and DeleteByQuery","End To End Tests","Fri Feb 06 08:33:58 UTC 2026","passed","Fri Feb 06 08:33:59 UTC 2026","EntityService Tests","Typescript Client","",""
"","11","whenBuildingRangeQuery_thenCorrectQueryBuilt()","Structures Core","Fri Feb 06 08:29:23 UTC 2026","passed","Fri Feb 06 08:29:23 UTC 2026","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenBuildingRangeQuery_thenCorrectQueryBuilt"
"","1004","whenCreateTableMigration_thenTableCreated()","Structures Core","Fri Feb 06 08:29:00 UTC 2026","passed","Fri Feb 06 08:29:01 UTC 2026","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenCreateTableMigration_thenTableCreated"
"","1","testAuthorizeReadOperationWithNoFieldPolicies()","Structures Core","Fri Feb 06 08:28:45 UTC 2026","passed","Fri Feb 06 08:28:45 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadOperationWithNoFieldPolicies"
"","629","Test Optimistic Locking","End To End Tests","Fri Feb 06 08:34:15 UTC 2026","passed","Fri Feb 06 08:34:16 UTC 2026","Versioned Tests","Typescript Client","",""
"","777","testExtractValueFromPath_NonExistentPath()","Structures Core","Fri Feb 06 08:28:13 UTC 2026","passed","Fri Feb 06 08:28:14 UTC 2026","","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","testExtractValueFromPath_NonExistentPath"
"","196","whenCreateTableWithNotIndexedFields_thenFieldsNotIndexed()","Structures Core","Fri Feb 06 08:29:21 UTC 2026","passed","Fri Feb 06 08:29:21 UTC 2026","","org.kinotic.structures.tests.sql.NotIndexedTypeTest","org.kinotic.structures.tests.sql.NotIndexedTypeTest","whenCreateTableWithNotIndexedFields_thenFieldsNotIndexed"
"","2","should handle concurrent entity operations during cache eviction","K8s Cache Eviction Tests","Fri Feb 06 08:33:45 UTC 2026","passed","Fri Feb 06 08:33:45 UTC 2026","","","",""
"","1","whenUsingParameterizedQueryWithoutParameters_thenExceptionThrown()","Structures Core","Fri Feb 06 08:29:23 UTC 2026","passed","Fri Feb 06 08:29:23 UTC 2026","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenUsingParameterizedQueryWithoutParameters_thenExceptionThrown"
"","177","findMissingEntity()","Structures Core","Fri Feb 06 08:28:42 UTC 2026","passed","Fri Feb 06 08:28:42 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","findMissingEntity"
"","3","testNoAuthorizationHeader()","Structures Core","Fri Feb 06 08:28:11 UTC 2026","passed","Fri Feb 06 08:28:11 UTC 2026","","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","testNoAuthorizationHeader"
