"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6721","Test Basic Stream Write and Search","End To End Tests","Sun Jan 11 07:50:33 UTC 2026","passed","Sun Jan 11 07:50:39 UTC 2026","Data Stream Tests","Typescript Client","",""
"","595","Test Save Multiple","End To End Tests","Sun Jan 11 07:50:48 UTC 2026","passed","Sun Jan 11 07:50:49 UTC 2026","Named Query Tests","Typescript Client","",""
"","0","testAuthorizeWithEntityOnlyPolicies()","Structures Core","Sun Jan 11 07:44:31 UTC 2026","passed","Sun Jan 11 07:44:31 UTC 2026","","org.mindignited.structures.security.graphos.PolicyAuthorizationServiceTest","org.mindignited.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithEntityOnlyPolicies"
"","305","bulkSaveObjectWithMultipleIds()","Structures Core","Sun Jan 11 07:44:17 UTC 2026","passed","Sun Jan 11 07:44:17 UTC 2026","","org.mindignited.structures.entity.BulkUpdateTests","org.mindignited.structures.entity.BulkUpdateTests","bulkSaveObjectWithMultipleIds"
"","178","tryOperationsOnPublishedStructure()","Structures Core","Sun Jan 11 07:44:32 UTC 2026","passed","Sun Jan 11 07:44:32 UTC 2026","","org.mindignited.structures.structure.StructureCrudTests","org.mindignited.structures.structure.StructureCrudTests","tryOperationsOnPublishedStructure"
"","74","createStructureWithSameNameError()","Structures Core","Sun Jan 11 07:44:32 UTC 2026","passed","Sun Jan 11 07:44:32 UTC 2026","","org.mindignited.structures.structure.StructureCrudTests","org.mindignited.structures.structure.StructureCrudTests","createStructureWithSameNameError"
"","1","testPolicyEvaluatorWithSuccessfulLastName()","Structures Core","Sun Jan 11 07:44:31 UTC 2026","passed","Sun Jan 11 07:44:31 UTC 2026","","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulLastName"
"","456","Test Update Fails","End To End Tests","Sun Jan 11 07:50:55 UTC 2026","passed","Sun Jan 11 07:50:55 UTC 2026","Versioned Tests","Typescript Client","",""
"","720","createAndDeleteApplication()","Structures Core","Sun Jan 11 07:44:14 UTC 2026","passed","Sun Jan 11 07:44:14 UTC 2026","","org.mindignited.structures.application.ApplicationTests","org.mindignited.structures.application.ApplicationTests","createAndDeleteApplication"
"","8270","Test Basic CRUD","End To End Tests","Sun Jan 11 07:50:22 UTC 2026","passed","Sun Jan 11 07:50:30 UTC 2026","Admin EntityService Tests","Typescript Client","",""
