"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testAuthorizeDeniedWithEntityOnlyPolicies()","Structures Core","Fri Feb 06 09:02:57 UTC 2026","passed","Fri Feb 06 09:02:57 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeDeniedWithEntityOnlyPolicies"
"","0","testPolicyEvaluatorWithFailedOperations()","Structures Core","Fri Feb 06 09:02:57 UTC 2026","passed","Fri Feb 06 09:02:57 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithFailedOperations"
"","1","whenBuildingOrClause_thenCorrectQueryBuilt()","Structures Core","Fri Feb 06 09:03:34 UTC 2026","passed","Fri Feb 06 09:03:34 UTC 2026","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenBuildingOrClause_thenCorrectQueryBuilt"
"","67","testValidAudienceWithUserRole()","Structures Core","Fri Feb 06 09:02:19 UTC 2026","passed","Fri Feb 06 09:02:19 UTC 2026","","org.kinotic.structures.tests.auth.AccessControlTest","org.kinotic.structures.tests.auth.AccessControlTest","testValidAudienceWithUserRole"
"","2","testExtractValueFromPath_EmptyPath()","Structures Core","Fri Feb 06 09:02:32 UTC 2026","passed","Fri Feb 06 09:02:32 UTC 2026","","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","testExtractValueFromPath_EmptyPath"
"","1","whenBuildingSimpleTermQuery_thenCorrectQueryBuilt()","Structures Core","Fri Feb 06 09:03:34 UTC 2026","passed","Fri Feb 06 09:03:34 UTC 2026","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenBuildingSimpleTermQuery_thenCorrectQueryBuilt"
"","673","Test Bulk CRUD","End To End Tests","Fri Feb 06 09:36:17 UTC 2026","passed","Fri Feb 06 09:36:18 UTC 2026","EntityService Tests","Typescript Client","",""
"","336","bulkSaveObjectWithMultipleIds()","Structures Core","Fri Feb 06 09:02:42 UTC 2026","passed","Fri Feb 06 09:02:43 UTC 2026","","org.kinotic.structures.tests.core.entity.BulkUpdateTests","org.kinotic.structures.tests.core.entity.BulkUpdateTests","bulkSaveObjectWithMultipleIds"
"","904","Test Multiple Writes Maintain Data Integrity","End To End Tests","Fri Feb 06 09:36:13 UTC 2026","passed","Fri Feb 06 09:36:14 UTC 2026","Data Stream Tests","Typescript Client","",""
"","12","testFrontendConfigurationEndpoint_JsonStructure()","Structures Core","Fri Feb 06 09:03:03 UTC 2026","passed","Fri Feb 06 09:03:03 UTC 2026","","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","testFrontendConfigurationEndpoint_JsonStructure"
"","647","Test Stream Time Range Search","End To End Tests","Fri Feb 06 09:36:16 UTC 2026","passed","Fri Feb 06 09:36:16 UTC 2026","Data Stream Tests","Typescript Client","",""
"","0","testPolicyEvaluatorWithoutOperations()","Structures Core","Fri Feb 06 09:02:57 UTC 2026","passed","Fri Feb 06 09:02:57 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithoutOperations"
"","331","Can bulk save people across multiple tenants and retrieve them selectively","End To End Tests","Fri Feb 06 09:36:04 UTC 2026","passed","Fri Feb 06 09:36:04 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
"","70","testFetchKeyFromValidToken()","Structures Core","Fri Feb 06 09:02:26 UTC 2026","passed","Fri Feb 06 09:02:26 UTC 2026","","org.kinotic.structures.tests.auth.JwksServiceTest","org.kinotic.structures.tests.auth.JwksServiceTest","testFetchKeyFromValidToken"
"","564","testCountByQuery()","Structures Core","Fri Feb 06 09:02:51 UTC 2026","passed","Fri Feb 06 09:02:52 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testCountByQuery"
"","1083","Test CountByQuery and DeleteByQuery","End To End Tests","Fri Feb 06 09:36:09 UTC 2026","passed","Fri Feb 06 09:36:10 UTC 2026","EntityService Tests","Typescript Client","",""
"","5831","Test Basic CRUD","End To End Tests","Fri Feb 06 09:36:20 UTC 2026","passed","Fri Feb 06 09:36:25 UTC 2026","Versioned Tests","Typescript Client","",""
