"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testAuthorizeReadOperationWithNoFieldPolicies()","Structures Core","Sun Feb 08 18:18:27 UTC 2026","passed","Sun Feb 08 18:18:27 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadOperationWithNoFieldPolicies"
"","2342","createAndDeleteApplication()","Structures Core","Sun Feb 08 18:18:08 UTC 2026","passed","Sun Feb 08 18:18:11 UTC 2026","","org.kinotic.structures.tests.core.application.ApplicationTests","org.kinotic.structures.tests.core.application.ApplicationTests","createAndDeleteApplication"
"","237","testPartialUpdate()","Structures Core","Sun Feb 08 18:18:25 UTC 2026","passed","Sun Feb 08 18:18:25 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testPartialUpdate"
"","540","testCountByQuery()","Structures Core","Sun Feb 08 18:18:22 UTC 2026","passed","Sun Feb 08 18:18:23 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testCountByQuery"
"","285","Can delete people across specific tenants","End To End Tests","Sun Feb 08 18:23:32 UTC 2026","passed","Sun Feb 08 18:23:32 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
"","10","testFrontendConfigurationEndpoint_ResponseHeaders()","Structures Core","Sun Feb 08 18:18:30 UTC 2026","passed","Sun Feb 08 18:18:30 UTC 2026","","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","testFrontendConfigurationEndpoint_ResponseHeaders"
"","836","Test Stream Time Range Search","End To End Tests","Sun Feb 08 18:23:43 UTC 2026","passed","Sun Feb 08 18:23:43 UTC 2026","Data Stream Tests","Typescript Client","",""
"","12","testFrontendConfigurationEndpoint_JsonStructure()","Structures Core","Sun Feb 08 18:18:30 UTC 2026","passed","Sun Feb 08 18:18:30 UTC 2026","","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","testFrontendConfigurationEndpoint_JsonStructure"
"","443","testSearch()","Structures Core","Sun Feb 08 18:18:26 UTC 2026","passed","Sun Feb 08 18:18:27 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testSearch"
"","735","Test Delete By Query","End To End Tests","Sun Feb 08 18:23:44 UTC 2026","passed","Sun Feb 08 18:23:45 UTC 2026","Data Stream Tests","Typescript Client","",""
"","849","Test Cursor Based Paging With Iterator Single Page","End To End Tests","Sun Feb 08 18:23:41 UTC 2026","passed","Sun Feb 08 18:23:41 UTC 2026","EntityService Tests","Typescript Client","",""
"","7341","Test Basic CRUD","End To End Tests","Sun Feb 08 18:23:24 UTC 2026","passed","Sun Feb 08 18:23:31 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","2303","createPublishAndDeleteStructure()","Structures Core","Sun Feb 08 18:18:27 UTC 2026","passed","Sun Feb 08 18:18:29 UTC 2026","","org.kinotic.structures.tests.core.structure.StructureCrudTests","org.kinotic.structures.tests.core.structure.StructureCrudTests","createPublishAndDeleteStructure"
"","798","Test Bulk CRUD","End To End Tests","Sun Feb 08 18:23:45 UTC 2026","passed","Sun Feb 08 18:23:46 UTC 2026","EntityService Tests","Typescript Client","",""
"","0","testPolicyEvaluatorWithoutOperations()","Structures Core","Sun Feb 08 18:18:27 UTC 2026","passed","Sun Feb 08 18:18:27 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithoutOperations"
"","1113","testUnauthorizedClientAlwaysFails()","Structures Core","Sun Feb 08 18:18:06 UTC 2026","passed","Sun Feb 08 18:18:07 UTC 2026","","org.kinotic.structures.tests.auth.UnauthorizedProviderAccessControlTest","org.kinotic.structures.tests.auth.UnauthorizedProviderAccessControlTest","testUnauthorizedClientAlwaysFails"
"","3","should propagate cache eviction across all pods with entity operations","K8s Cache Eviction Tests","Sun Feb 08 18:23:24 UTC 2026","passed","Sun Feb 08 18:23:24 UTC 2026","","","",""
"","952","Test Bulk Stream Write","End To End Tests","Sun Feb 08 18:23:41 UTC 2026","passed","Sun Feb 08 18:23:42 UTC 2026","Data Stream Tests","Typescript Client","",""
"","4","testClearCaches()","Structures Core","Sun Feb 08 18:18:04 UTC 2026","passed","Sun Feb 08 18:18:04 UTC 2026","","org.kinotic.structures.tests.auth.JwksServiceTest","org.kinotic.structures.tests.auth.JwksServiceTest","testClearCaches"
"","0","whenUsingParameterizedQuery_thenParameterSubstituted()","Structures Core","Sun Feb 08 18:18:56 UTC 2026","passed","Sun Feb 08 18:18:56 UTC 2026","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenUsingParameterizedQuery_thenParameterSubstituted"
"","41","OpenApi Schema loads","End To End Tests","Sun Feb 08 18:23:56 UTC 2026","passed","Sun Feb 08 18:23:56 UTC 2026","","","",""
"","1772","Test FindByIds","End To End Tests","Sun Feb 08 18:23:32 UTC 2026","passed","Sun Feb 08 18:23:34 UTC 2026","EntityService Tests","Typescript Client","",""
"","0","testAuthorizeDeniedWithEntityOnlyPolicies()","Structures Core","Sun Feb 08 18:18:27 UTC 2026","passed","Sun Feb 08 18:18:27 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeDeniedWithEntityOnlyPolicies"
"","5","testJwtTokenWithoutKid()","Structures Core","Sun Feb 08 18:18:04 UTC 2026","passed","Sun Feb 08 18:18:04 UTC 2026","","org.kinotic.structures.tests.auth.JwksServiceTest","org.kinotic.structures.tests.auth.JwksServiceTest","testJwtTokenWithoutKid"
"","0","testPolicyEvaluatorWithFailedOperations()","Structures Core","Sun Feb 08 18:18:27 UTC 2026","passed","Sun Feb 08 18:18:27 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithFailedOperations"
"","181","findMissingEntity()","Structures Core","Sun Feb 08 18:18:26 UTC 2026","passed","Sun Feb 08 18:18:26 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","findMissingEntity"
"","404","bulkSaveObjectWithMultipleIds()","Structures Core","Sun Feb 08 18:18:13 UTC 2026","passed","Sun Feb 08 18:18:13 UTC 2026","","org.kinotic.structures.tests.core.entity.BulkUpdateTests","org.kinotic.structures.tests.core.entity.BulkUpdateTests","bulkSaveObjectWithMultipleIds"
"","466","testCreateAndDeleteByQuery()","Structures Core","Sun Feb 08 18:18:25 UTC 2026","passed","Sun Feb 08 18:18:26 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testCreateAndDeleteByQuery"
"","2010","whenCreateTableIfNotExists_thenNoErrorOnSecondCreate()","Structures Core","Sun Feb 08 18:18:47 UTC 2026","passed","Sun Feb 08 18:18:49 UTC 2026","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenCreateTableIfNotExists_thenNoErrorOnSecondCreate"
"","111","testFetchKeyFromValidToken()","Structures Core","Sun Feb 08 18:18:04 UTC 2026","passed","Sun Feb 08 18:18:04 UTC 2026","","org.kinotic.structures.tests.auth.JwksServiceTest","org.kinotic.structures.tests.auth.JwksServiceTest","testFetchKeyFromValidToken"
"","5","testValidBearerHeaderWithInvalidToken()","Structures Core","Sun Feb 08 18:18:05 UTC 2026","passed","Sun Feb 08 18:18:05 UTC 2026","","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","testValidBearerHeaderWithInvalidToken"
"","147","Can delete person","End To End Tests","Sun Feb 08 18:23:31 UTC 2026","passed","Sun Feb 08 18:23:31 UTC 2026","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","110","testValidAudienceWithUserRole()","Structures Core","Sun Feb 08 18:18:01 UTC 2026","passed","Sun Feb 08 18:18:01 UTC 2026","","org.kinotic.structures.tests.auth.AccessControlTest","org.kinotic.structures.tests.auth.AccessControlTest","testValidAudienceWithUserRole"
"","1922","Test FindByIds","End To End Tests","Sun Feb 08 18:23:31 UTC 2026","passed","Sun Feb 08 18:23:33 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","526","testFindAll()","Structures Core","Sun Feb 08 18:18:23 UTC 2026","passed","Sun Feb 08 18:18:24 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testFindAll"
"","6007","Test Basic CRUD","End To End Tests","Sun Feb 08 18:23:47 UTC 2026","passed","Sun Feb 08 18:23:53 UTC 2026","Versioned Tests","Typescript Client","",""
"","120","Can count people across specific tenants","End To End Tests","Sun Feb 08 18:23:32 UTC 2026","passed","Sun Feb 08 18:23:32 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
"","1","testSharedPolicyManagerInitialization()","Structures Core","Sun Feb 08 18:18:27 UTC 2026","passed","Sun Feb 08 18:18:27 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","testSharedPolicyManagerInitialization"
"","41","createStructureWithSameNameError()","Structures Core","Sun Feb 08 18:18:30 UTC 2026","passed","Sun Feb 08 18:18:30 UTC 2026","","org.kinotic.structures.tests.core.structure.StructureCrudTests","org.kinotic.structures.tests.core.structure.StructureCrudTests","createStructureWithSameNameError"
"","825","Test Offset Based Paging With Iterator","End To End Tests","Sun Feb 08 18:23:42 UTC 2026","passed","Sun Feb 08 18:23:43 UTC 2026","EntityService Tests","Typescript Client","",""
"","1020","Test FindByIds","End To End Tests","Sun Feb 08 18:23:54 UTC 2026","passed","Sun Feb 08 18:23:55 UTC 2026","Versioned Tests","Typescript Client","",""
"","3","testAuthorizeReadFailsDueToFieldPolicy()","Structures Core","Sun Feb 08 18:18:27 UTC 2026","passed","Sun Feb 08 18:18:27 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadFailsDueToFieldPolicy"
"","3","testJwksServiceInitialization()","Structures Core","Sun Feb 08 18:18:04 UTC 2026","passed","Sun Feb 08 18:18:04 UTC 2026","","org.kinotic.structures.tests.auth.JwksServiceTest","org.kinotic.structures.tests.auth.JwksServiceTest","testJwksServiceInitialization"
"","224","testFindById()","Structures Core","Sun Feb 08 18:18:25 UTC 2026","passed","Sun Feb 08 18:18:25 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testFindById"
"","1","whenUsingParameterizedQueryWithMissingParameter_thenExceptionThrown()","Structures Core","Sun Feb 08 18:18:56 UTC 2026","passed","Sun Feb 08 18:18:56 UTC 2026","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenUsingParameterizedQueryWithMissingParameter_thenExceptionThrown"
"","715","testCount()","Structures Core","Sun Feb 08 18:18:24 UTC 2026","passed","Sun Feb 08 18:18:24 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testCount"
