"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Test Delete By Query","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","Data Stream Tests","Typescript Client","",""
"","0","Test Cursor Based Paging","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","EntityService Tests","Typescript Client","",""
"","0","Aggregate With Parameter Test","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","Named Query Tests","Typescript Client","",""
"","0","Can get person by ID","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","1","testPolicyEvaluatorWithFailedOperations()","Structures Core","Sun Jan 11 06:39:42 UTC 2026","passed","Sun Jan 11 06:39:42 UTC 2026","","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithFailedOperations"
"","0","Can count people across specific tenants","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
"","0","Test FindByIds and None Found","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","EntityService Tests","Typescript Client","",""
"","2121","testNamedQuery()","Structures Core","Sun Jan 11 06:39:39 UTC 2026","passed","Sun Jan 11 06:39:42 UTC 2026","","org.mindignited.structures.entity.NamedQueryTests","org.mindignited.structures.entity.NamedQueryTests","testNamedQuery"
"","0","Test Offset Based Paging With Iterator Single Page","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","EntityService Tests","Typescript Client","",""
"","335","bulkSaveObjectWithMultipleIds()","Structures Core","Sun Jan 11 06:39:29 UTC 2026","passed","Sun Jan 11 06:39:29 UTC 2026","","org.mindignited.structures.entity.BulkUpdateTests","org.mindignited.structures.entity.BulkUpdateTests","bulkSaveObjectWithMultipleIds"
"","226","findMissingEntity()","Structures Core","Sun Jan 11 06:39:39 UTC 2026","passed","Sun Jan 11 06:39:39 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","findMissingEntity"
"","278","testCreateAndDeleteItem()","Structures Core","Sun Jan 11 06:39:36 UTC 2026","passed","Sun Jan 11 06:39:37 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","testCreateAndDeleteItem"
"","0","Can delete people across specific tenants","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
"","1","Test FindByIds","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","471","testCountByQuery()","Structures Core","Sun Jan 11 06:39:36 UTC 2026","passed","Sun Jan 11 06:39:36 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","testCountByQuery"
"","1","testSharedPolicyManagerInitialization()","Structures Core","Sun Jan 11 06:39:42 UTC 2026","passed","Sun Jan 11 06:39:42 UTC 2026","","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","testSharedPolicyManagerInitialization"
"","1","testPolicyEvaluatorWithSuccessfulLastName()","Structures Core","Sun Jan 11 06:39:42 UTC 2026","passed","Sun Jan 11 06:39:42 UTC 2026","","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulLastName"
"","0","Test Bulk CRUD","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","0","Test Stream Pagination","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","Data Stream Tests","Typescript Client","",""
"","0","Can find people by IDs across specific tenants","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
"","0","OpenApi Schema loads","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","","","",""
"","1","testAuthorizeWithEntityOnlyPolicies()","Structures Core","Sun Jan 11 06:39:42 UTC 2026","passed","Sun Jan 11 06:39:42 UTC 2026","","org.mindignited.structures.security.graphos.PolicyAuthorizationServiceTest","org.mindignited.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithEntityOnlyPolicies"
"","646","createAndDeleteApplication()","Structures Core","Sun Jan 11 06:39:26 UTC 2026","passed","Sun Jan 11 06:39:27 UTC 2026","","org.mindignited.structures.application.ApplicationTests","org.mindignited.structures.application.ApplicationTests","createAndDeleteApplication"
"","295","testFindByIdsNoneFound()","Structures Core","Sun Jan 11 06:39:38 UTC 2026","passed","Sun Jan 11 06:39:38 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","testFindByIdsNoneFound"
"","0","Test Cursor Based Paging With Iterator","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","EntityService Tests","Typescript Client","",""
"","0","Test Alert Schema Evolution - Remove Field (Breaking)","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","Data Stream Tests","Typescript Client","",""
"","395","testCreateAndDeleteByQuery()","Structures Core","Sun Jan 11 06:39:38 UTC 2026","passed","Sun Jan 11 06:39:39 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","testCreateAndDeleteByQuery"
"","2","should propagate cache eviction across all pods with entity operations","K8s Cache Eviction Tests","Sun Jan 11 06:44:39 UTC 2026","passed","Sun Jan 11 06:44:39 UTC 2026","","","",""
"","0","Test Basic Stream Write and Search","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","Data Stream Tests","Typescript Client","",""
"","0","Test Basic CRUD","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","EntityService Tests","Typescript Client","",""
"","1","Test Basic CRUD","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","405","testCount()","Structures Core","Sun Jan 11 06:39:37 UTC 2026","passed","Sun Jan 11 06:39:38 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","testCount"
"","328","createPublishAndDeleteStructure()","Structures Core","Sun Jan 11 06:39:42 UTC 2026","passed","Sun Jan 11 06:39:42 UTC 2026","","org.mindignited.structures.structure.StructureCrudTests","org.mindignited.structures.structure.StructureCrudTests","createPublishAndDeleteStructure"
"","0","Test Bulk Stream Write","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","Data Stream Tests","Typescript Client","",""
"","202","healthEndpointAvailableWhenClusteringDisabled()","Structures Core","Sun Jan 11 06:39:28 UTC 2026","passed","Sun Jan 11 06:39:28 UTC 2026","","org.mindignited.structures.application.HealthCheckNoClusterTest","org.mindignited.structures.application.HealthCheckNoClusterTest","healthEndpointAvailableWhenClusteringDisabled"
"","0","Test Alert Schema Evolution - Add Field (Non-Breaking)","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","Data Stream Tests","Typescript Client","",""
"","1","Test FindByIds","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","EntityService Tests","Typescript Client","",""
"","40","tryOperationOnNotPublishedStructure()","Structures Core","Sun Jan 11 06:39:42 UTC 2026","passed","Sun Jan 11 06:39:42 UTC 2026","","org.mindignited.structures.structure.StructureCrudTests","org.mindignited.structures.structure.StructureCrudTests","tryOperationOnNotPublishedStructure"
"","0","OpenApi Schema loads","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","","OpenAPI Client","",""
"","541","testBulk()","Structures Core","Sun Jan 11 06:39:29 UTC 2026","passed","Sun Jan 11 06:39:29 UTC 2026","","org.mindignited.structures.entity.BulkUpdateTests","org.mindignited.structures.entity.BulkUpdateTests","testBulk"
"","0","Test Offset Based Paging With Iterator Uneven Pages","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","EntityService Tests","Typescript Client","",""
"","0","Test CountByQuery and DeleteByQuery","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","EntityService Tests","Typescript Client","",""
"","0","Test Stream Time Range Search","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","Data Stream Tests","Typescript Client","",""
"","0","Test Save Multiple","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","Named Query Tests","Typescript Client","",""
"","0","Test FindByIds","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","Versioned Tests","Typescript Client","",""
"","0","OpenApi Schema loads","End To End Tests","Sun Jan 11 07:01:41 UTC 2026","skipped","Sun Jan 11 07:01:41 UTC 2026","","","",""
