"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","testNonBearerAuthorizationHeaderExceptionDetails()","Structures Core","Sun Feb 08 08:42:31 UTC 2026","passed","Sun Feb 08 08:42:31 UTC 2026","","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","testNonBearerAuthorizationHeaderExceptionDetails"
"","6884","Test Basic Stream Write and Search","End To End Tests","Sun Feb 08 08:47:55 UTC 2026","passed","Sun Feb 08 08:48:02 UTC 2026","Data Stream Tests","Typescript Client","",""
"","232","Can find people by IDs across specific tenants","End To End Tests","Sun Feb 08 08:47:54 UTC 2026","passed","Sun Feb 08 08:47:54 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
"","228","testCreateAndDeleteItem()","Structures Core","Sun Feb 08 08:42:47 UTC 2026","passed","Sun Feb 08 08:42:47 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testCreateAndDeleteItem"
"","3","testExtractValueFromPath_DeeperNestedPath()","Structures Core","Sun Feb 08 08:42:32 UTC 2026","passed","Sun Feb 08 08:42:32 UTC 2026","","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","testExtractValueFromPath_DeeperNestedPath"
"","565","Test Offset Based Paging With Iterator No Data","End To End Tests","Sun Feb 08 08:48:06 UTC 2026","passed","Sun Feb 08 08:48:07 UTC 2026","EntityService Tests","Typescript Client","",""
"","58","testValidAudienceWithInsufficientRoles()","Structures Core","Sun Feb 08 08:42:29 UTC 2026","passed","Sun Feb 08 08:42:29 UTC 2026","","org.kinotic.structures.tests.auth.AdminProviderAccessControlTest","org.kinotic.structures.tests.auth.AdminProviderAccessControlTest","testValidAudienceWithInsufficientRoles"
"","366","findMissingEntity()","Structures Core","Sun Feb 08 08:42:50 UTC 2026","passed","Sun Feb 08 08:42:50 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","findMissingEntity"
"","1","testInvalidAuthorizationHeaderExceptionDetails()","Structures Core","Sun Feb 08 08:42:31 UTC 2026","passed","Sun Feb 08 08:42:31 UTC 2026","","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","testInvalidAuthorizationHeaderExceptionDetails"
"","85","testValidAudienceWithUserRole()","Structures Core","Sun Feb 08 08:42:27 UTC 2026","passed","Sun Feb 08 08:42:27 UTC 2026","","org.kinotic.structures.tests.auth.AccessControlTest","org.kinotic.structures.tests.auth.AccessControlTest","testValidAudienceWithUserRole"
"","1111","Test Cursor Based Paging With Iterator","End To End Tests","Sun Feb 08 08:48:01 UTC 2026","passed","Sun Feb 08 08:48:02 UTC 2026","EntityService Tests","Typescript Client","",""
"","3","testExtractValueFromPath_ListPath()","Structures Core","Sun Feb 08 08:42:32 UTC 2026","passed","Sun Feb 08 08:42:32 UTC 2026","","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","testExtractValueFromPath_ListPath"
"","0","testPolicyEvaluatorWithMissingDomainPolicy()","Structures Core","Sun Feb 08 08:42:51 UTC 2026","passed","Sun Feb 08 08:42:51 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithMissingDomainPolicy"
