"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Test Migration Service Error Handling","Migration Service End To End Tests","Thu Jan 08 06:56:15 UTC 2026","skipped","Thu Jan 08 06:56:15 UTC 2026","Migration Service Tests","Typescript Client","",""
"","1","testCreateAndDeleteByQuery()","Structures Core","Thu Jan 08 06:34:32 UTC 2026","broken","Thu Jan 08 06:34:32 UTC 2026","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testCreateAndDeleteByQuery"
"","5","testAuthorizeWithNoPoliciesOnStructure()","Structures Core","Thu Jan 08 06:34:32 UTC 2026","passed","Thu Jan 08 06:34:32 UTC 2026","","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithNoPoliciesOnStructure"
"","0","Test Offset Based Paging With Iterator Uneven Pages","End To End Tests","Thu Jan 08 06:56:15 UTC 2026","skipped","Thu Jan 08 06:56:15 UTC 2026","EntityService Tests","Typescript Client","",""
"","1","testBulk()","Structures Core","Thu Jan 08 06:34:31 UTC 2026","broken","Thu Jan 08 06:34:31 UTC 2026","","org.kinotic.structures.entity.BulkUpdateTests","org.kinotic.structures.entity.BulkUpdateTests","testBulk"
"","1","testPolicyEvaluatorWithFailedOperations()","Structures Core","Thu Jan 08 06:34:32 UTC 2026","passed","Thu Jan 08 06:34:32 UTC 2026","","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithFailedOperations"
"","1","Test CountByQuery","End To End Tests","Thu Jan 08 06:56:15 UTC 2026","skipped","Thu Jan 08 06:56:15 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","1","tryOperationOnNotPublishedStructure()","Structures Core","Thu Jan 08 06:34:32 UTC 2026","broken","Thu Jan 08 06:34:32 UTC 2026","","org.kinotic.structures.structure.StructureCrudTests","org.kinotic.structures.structure.StructureCrudTests","tryOperationOnNotPublishedStructure"
"","710","healthEndpointAvailableWhenClusteringDisabled()","Structures Core","Thu Jan 08 06:34:31 UTC 2026","passed","Thu Jan 08 06:34:31 UTC 2026","","org.kinotic.structures.application.HealthCheckNoClusterTest","org.kinotic.structures.application.HealthCheckNoClusterTest","healthEndpointAvailableWhenClusteringDisabled"
"","1","testFindByIds()","Structures Core","Thu Jan 08 06:34:32 UTC 2026","broken","Thu Jan 08 06:34:32 UTC 2026","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testFindByIds"
"","1","testMultiTenantSearch()","Structures Core","Thu Jan 08 06:34:32 UTC 2026","broken","Thu Jan 08 06:34:32 UTC 2026","","org.kinotic.structures.entity.EntityCrudTests","org.kinotic.structures.entity.EntityCrudTests","testMultiTenantSearch"
"","0","Test FindByIds","End To End Tests","Thu Jan 08 06:56:15 UTC 2026","skipped","Thu Jan 08 06:56:15 UTC 2026","EntityService Tests","Typescript Client","",""
"","1","Test ProjectMigrationService With Invalid Migration Filename","Migration Service End To End Tests","Thu Jan 08 06:56:15 UTC 2026","skipped","Thu Jan 08 06:56:15 UTC 2026","Migration Service Tests","Typescript Client","",""
