"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Test Offset Based Paging With Iterator No Data","End To End Tests","Sun Jan 11 05:47:43 UTC 2026","skipped","Sun Jan 11 05:47:43 UTC 2026","EntityService Tests","Typescript Client","",""
"","0","Can delete people across specific tenants","End To End Tests","Sun Jan 11 05:47:43 UTC 2026","skipped","Sun Jan 11 05:47:43 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
"","0","Test Bulk Stream Write","End To End Tests","Sun Jan 11 05:47:43 UTC 2026","skipped","Sun Jan 11 05:47:43 UTC 2026","Data Stream Tests","Typescript Client","",""
"","1","Test ProjectMigrationService Ignores Non-SQL Files","Migration Service End To End Tests","Sun Jan 11 05:47:43 UTC 2026","skipped","Sun Jan 11 05:47:43 UTC 2026","Migration Service Tests","Typescript Client","",""
"","0","Test Cursor Based Paging With Iterator No Data","End To End Tests","Sun Jan 11 05:47:43 UTC 2026","skipped","Sun Jan 11 05:47:43 UTC 2026","EntityService Tests","Typescript Client","",""
"","0","Test Cursor Based Paging With Iterator Single Page","End To End Tests","Sun Jan 11 05:47:43 UTC 2026","skipped","Sun Jan 11 05:47:43 UTC 2026","EntityService Tests","Typescript Client","",""
"","1","Can count people across specific tenants","End To End Tests","Sun Jan 11 05:47:43 UTC 2026","skipped","Sun Jan 11 05:47:43 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
"","1","Test Alert Schema Evolution - Add Field (Non-Breaking)","End To End Tests","Sun Jan 11 05:47:43 UTC 2026","skipped","Sun Jan 11 05:47:43 UTC 2026","Data Stream Tests","Typescript Client","",""
"","113","testFindByIds()","Structures Core","Sun Jan 11 05:21:47 UTC 2026","passed","Sun Jan 11 05:21:47 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","testFindByIds"
"","0","Test CountByQuery","End To End Tests","Sun Jan 11 05:47:43 UTC 2026","skipped","Sun Jan 11 05:47:43 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","1","Test ProjectMigrationService With Migration Files","Migration Service End To End Tests","Sun Jan 11 05:47:43 UTC 2026","skipped","Sun Jan 11 05:47:43 UTC 2026","Migration Service Tests","Typescript Client","",""
"","229","healthEndpointAvailableWhenClusteringDisabled()","Structures Core","Sun Jan 11 05:21:36 UTC 2026","passed","Sun Jan 11 05:21:36 UTC 2026","","org.mindignited.structures.application.HealthCheckNoClusterTest","org.mindignited.structures.application.HealthCheckNoClusterTest","healthEndpointAvailableWhenClusteringDisabled"
"","412","testSearch()","Structures Core","Sun Jan 11 05:21:47 UTC 2026","passed","Sun Jan 11 05:21:48 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","testSearch"
"","0","testAuthorizeWithEntityOnlyPolicies()","Structures Core","Sun Jan 11 05:21:50 UTC 2026","passed","Sun Jan 11 05:21:50 UTC 2026","","org.mindignited.structures.security.graphos.PolicyAuthorizationServiceTest","org.mindignited.structures.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithEntityOnlyPolicies"
"","0","Test Offset Based Paging With Iterator Uneven Pages","End To End Tests","Sun Jan 11 05:47:43 UTC 2026","skipped","Sun Jan 11 05:47:43 UTC 2026","EntityService Tests","Typescript Client","",""
