"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43","createStructureWithSameNameError()","Structures Core","Sun Jan 11 03:26:47 UTC 2026","failed","Sun Jan 11 03:26:47 UTC 2026","","org.mindignited.structures.structure.StructureCrudTests","org.mindignited.structures.structure.StructureCrudTests","createStructureWithSameNameError"
"","72","testPartialUpdate()","Structures Core","Sun Jan 11 03:26:46 UTC 2026","failed","Sun Jan 11 03:26:46 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","testPartialUpdate"
"","51","testFindByIdsNoneFound()","Structures Core","Sun Jan 11 03:26:46 UTC 2026","failed","Sun Jan 11 03:26:46 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","testFindByIdsNoneFound"
"","0","Can count people across specific tenants","End To End Tests","Sun Jan 11 03:48:36 UTC 2026","skipped","Sun Jan 11 03:48:36 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
"","1","Aggregate Pageable Test","End To End Tests","Sun Jan 11 03:48:36 UTC 2026","skipped","Sun Jan 11 03:48:36 UTC 2026","Named Query Tests","Typescript Client","",""
"","0","Test Alert Schema Evolution - Remove Field (Breaking)","End To End Tests","Sun Jan 11 03:48:36 UTC 2026","skipped","Sun Jan 11 03:48:36 UTC 2026","Data Stream Tests","Typescript Client","",""
"","93","testCreateAndDeleteByQuery()","Structures Core","Sun Jan 11 03:26:47 UTC 2026","failed","Sun Jan 11 03:26:47 UTC 2026","","org.mindignited.structures.entity.EntityCrudTests","org.mindignited.structures.entity.EntityCrudTests","testCreateAndDeleteByQuery"
"","2","testSharedPolicyManagerInitialization()","Structures Core","Sun Jan 11 03:26:47 UTC 2026","passed","Sun Jan 11 03:26:47 UTC 2026","","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","testSharedPolicyManagerInitialization"
"","86","testNamedQuery()","Structures Core","Sun Jan 11 03:26:47 UTC 2026","failed","Sun Jan 11 03:26:47 UTC 2026","","org.mindignited.structures.entity.NamedQueryTests","org.mindignited.structures.entity.NamedQueryTests","testNamedQuery"
"","1","testPolicyEvaluatorWithSuccessfulLastName()","Structures Core","Sun Jan 11 03:26:47 UTC 2026","passed","Sun Jan 11 03:26:47 UTC 2026","","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","org.mindignited.structures.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulLastName"
